"Weights (in pounds)"
305
236
194
246
315
318
265
244
216
212
215
230
287
194
255
201
200
316
285
190
300
308
295
200
290
307
315
270
187
324
235
218
190
241
204
245
300
315
185
242
257
185
230
265
183
306
185
195
210
313
237
255
