Length of Inaugural Address (in words)
1431
4472
3336
1686
1526
2273
2427
2096
135
2915
2831
4392
3329
2459
2561
1433
2321
1128
3637
2015
4055
1658
2320
1730
1176
700
3968
3672
1366
1598
2166
3843
1127
2218
1880
1507
2155
1177
8460
1339
984
1808
2128
1592
1211
4809
2486
5434
1359
1803
2071
3375
1090
2979
1704
559
1229
2395
