weekly attendance (in thousands)
240.9
191.3
246.5
197
241
185.5
236.8
208.5
240.2
162.5
219.7
218.2
245.9
180.9
149.4
238.5
251
183
214.9
235.8
260.2
196.4
228.3
239.3
252.1
187.7
214
240.4
256
235.2
205.3
234.9
269.4
292.4
184.2
244.1
222.4
240.9
183.1
254.9
213.6
231.6
189.9
269.2
196.6
232.1
181.6
265.6
192.2
220.6
190.4
257.5
