May,June
880.37,871.22
880.93,882.79
875.04,903.87
879.73,871.48
877.07,870.76
884.74,889.42
877,915.89
864.64,873.63
873.65,868.31
900.68,906.97
871.98,887.1
859.7,857.23
866.2,881.27
900.62,908.53
879.81,877.53
859.1,861.55
869.79,873.32
886.25,909.18
890.22,880.23
867.63,845.72
829.61,
820.43,
