Team,2017,2018
New England,458,436
Pittsburgh,406,428
LA Chargers,355,428
Kansas City,415,565
Jacksonville,417,245
Denver,289,329
Oakland,301,290
Houston,338,402
Tennessee,334,310
Cleveland,234,359
Miami,281,319
Baltimore,395,389
NY Jets,298,333
Buffalo,302,269
Indianapolis,263,433
Cincinnati,290,368
