Hybrid Mileage Ratings
40
28
26
33
26
43
27
24
28
48
46
21
29
58
49
23
21
31
19
42
34
25
21
46
43
41
30
50
46
25
23
23
19
55
22
52
44
52
56
26
23
42
42
44
41
22
39
29
50
30
22
24
28
48
41
29
41
19
52
