Systolic Blood Pressure
98
103
116
156
94
122
119
120
130
118
114
114
128
119
110
123
119
122
128
125
142
117
117
114
121
174
92
113
127
101
130
124
120
104
102
136
107
118
118
110
109
115
109
111
99
139
167
113
121
106
