Temperature (in Fahrenheit)
73
52
52
72
66
66
50
57
81
54
64
61
54
64
52
66
61
61
51
70
63
61
50
48
82
72
73
48
55
59
70
55
54
75
73
72
46
64
61
66
57
55
64
64
72
54
46
68
66
70
55
73
68
75
64
50
63
72
66
