BMW Prices (in thousand of dollars)
35.3
37.3
41.1
53.1
55.1
44.8
57.7
60.4
51.2
95.6
102.7
58.9
52.4
54
56
157.7
69.9
76.9
43.1
46.8
53.2
45.8
69.2
73.4
45
51.4
86.5
47.8
77.7
80.4
47
53.4
89.5
50.4
103.1
63.7
