BMW prices (in thousands of dollars)
35.3
53.1
57.7
95.6
52.4
157.7
37.3
55.1
60.4
102.7
54
69.9
41.1
44.8
51.2
58.9
56
76.9
43.1
46.8
53.2
45.8
69.2
73.4
45
51.4
86.5
47.8
77.7
80.4
47
53.4
89.5
50.4
103.1
63.7
