Particulate Emissions for 65 Vehicles
1.5
1.48
1.4
3.12
0.25
0.87
1.06
1.37
2.37
0.53
1.12
1.11
1.81
2.12
3.36
1.25
2.15
1.14
2.68
3.47
3.46
0.86
1.63
1.17
2.74
1.11
1.81
3.67
3.34
1.88
1.12
1.47
0.55
3.79
5.94
0.88
1.24
2.67
1.28
4.24
1.29
1.63
2.63
2.1
3.52
0.94
2.14
3.03
6.55
3.59
0.64
6.64
1.23
1.18
3.1
1.31
4.04
1.04
3.06
3.33
2.49
2.48
1.63
0.48
4.58
